id,channel,title,game,viewers,date
96279,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1286,1542681757877
96303,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24954,1542681818606
96309,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",16374,1542681818633
96311,xqcow,NA Streamer plays games,Witch It,13608,1542681818639
96317,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6516,1542681818656
96330,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3615,1542681818714
96383,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1166,1542681818887
96403,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24963,1542681879554
96409,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",16306,1542681879577
96411,xqcow,NA Streamer plays games,Witch It,13465,1542681879583
96417,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6516,1542681879599
96431,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3592,1542681879649
96479,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1285,1542681879793
96503,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24950,1542681940502
96509,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",16129,1542681940514
96511,xqcow,NA Streamer plays games,Witch It,13460,1542681940519
96517,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6536,1542681940532
96530,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3650,1542681940560
96585,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1139,1542681940704
96603,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24639,1542682001362
